Description_Cluster;Count;Associated_Comment_Clusters
aufgrund;267;rissbildung(5)|rissbreite(4)|bis(4)|0(4)|mm(4)|rissbreite bis(4)|aar(3)|der(3)|aar rissbildung(3)|an(2)
typischem;42;rissbildung(5)|rissbreite(4)|bis(4)|0(4)|mm(4)|rissbreite bis(4)|aar(3)|aar rissbildung(3)|an(2)|den(2)
rissbild;53;rissbildung(5)|rissbreite(4)|bis(4)|0(4)|mm(4)|rissbreite bis(4)|aar(3)|aar rissbildung(3)|an(2)|den(2)
netzrisse welche;0;
welche auf;0;
auf aar;0;
aar hindeuten;0;
hindeuten anzeichen;0;
anzeichen auf;0;
aar aufgrund;0;
aufgrund typischem;0;
typischem rissbild;0;
b;3640;de(166)|d(67)|l(65)|de l(60)|ouvrage(57)|la(55)|sup(53)|fissures(51)|0(50)|et(45)
schen;636;bis(9)|der(8)|rissbreite(6)|mm(6)|rissbildung(5)|rissbreite bis(5)|aar(4)|den(4)|0(4)|0 mm(4)
und b;0;
b schen;0;
teilweise;316;risse(6)|mit(5)|aar(5)|einem(4)|f(4)|r(4)|typisches(4)|rissbild(4)|risse mit(4)|mit einem(4)
seitenwand;3;
fugen;376;unproblematisch(4)|teilweise(4)|der(3)|korrosionsschutz(3)|und(3)|lteren(3)|datums(3)|lteren datums(3)|lle(2)|fundamente(2)
gerinne;91;keine(2)|schliessen(2)|vereinzelt(1)|auch(1)|aussinterungen(1)|vereinzelt auch(1)|auch aussinterungen(1)|durch(1)|abklopfen(1)|haben(1)
teilweise untersp;0;
lte seitenwand;0;
seitenwand fugen;0;
fugen von;0;
von gerinne;0;
rostflecken;99;insgesamt(2)|bindestellen(1)|welche(1)|vor(1)|dem(1)|betonieren(1)|nicht(1)|von(1)|der(1)|schalung(1)
vom;62;der(3)|betr(2)|gt(2)|rissbreite(2)|die(2)|inspektion(2)|verschiebung(2)|betr gt(2)|und rissbreite(2)|rissl(1)
deckel;54;kontrollschacht(2)|ohne(1)|bodenablauf(1)|ohne bodenablauf(1)
ausgehend;5;
immer;5;
noch;10;
vorhanden;41;kanalreinigungsunternehmer(2)|kohleeinlagen(2)|wurde(1)|durch(1)|weggepumpt(1)|wurde durch(1)|kanalreinigungsunternehmer weggepumpt(1)|diverse(1)|holz(1)|und(1)
rostflecken vom;0;
vom deckel;0;
deckel ausgehend;0;
ausgehend immer;0;
immer noch;0;
noch vorhanden;0;
mittlerer;13;
h;3394;de(125)|l(65)|ouvrage(60)|d(58)|de l(58)|0(51)|sup(50)|et(47)|la(44)|fissures(39)
he;1266;de(24)|l(21)|ouvrage(19)|de l(18)|d(16)|constatations(16)|bis(14)|0(12)|assainissement(12)|der(11)
