Cluster_Representative;Count;Variations;PerMille
und gras;344;und gras (15) | moos gras (20) | und saba (11) | und gel (18) | und bei (9) | und oder (12) | und str (13) | und moos (11) | und spr (9) | und teils (20) | und risse (17) | und rissl (64) | und abl (9) | und holz (7) | und quer (13) | und an (11) | und zu (10) | und ger (13) | und ger ll (13) | und die (7) | und in (10) | und stark (16) | und os (7) | und belag (9);1.02
zahlreiche fr;178;zahlreiche fr (56) | zahlreiche mit (26) | zahlreiche bis (49) | zahlreiche bei (7) | zahlreiche gr (11) | zahlreiche ngs (11) | zahlreiche gel (10) | zahlreiche abl (8);0.53
fr hschwindrisse;1287;fr hschwindrisse (531) | stk schwindrisse (717) | oder schwindrisse (16) | ev fr hschwindrisse (7) | bis schwindrisse (7) | fr hschwindrisse mit (9);3.83
in flickstelle;48;in flickstelle (48);0.14
zahlreiche fr hschwindrisse;163;zahlreiche fr hschwindrisse (56) | zahlreiche schwindrisse (107);0.49
stark verwitterte;292;stark verwitterte (292);0.87
verwitterte oberfl;1617;verwitterte oberfl (809) | verwitterte oberfl che (808);4.82
oberfl che;1549;oberfl che (920) | oberfl che mit (377) | fl che (40) | oberfl chliche (82) | oberfl chlich (43) | der oberfl che (23) | an oberfl che (21) | oberfl chige (15) | der fl che (8) | wandfl che (12) | mauerfl che (8);4.62
mit kornausbr;973;mit kornausbr (518) | che mit kornausbr (355) | mit ausbr (72) | mit kornausbr che (21) | teils kornausbr (7);2.9
kornausbr chen;1254;kornausbr chen (518) | mit kornausbr chen (497) | ausbr chen (98) | mit ausbr chen (72) | kornausbr che (51) | kornausbr chen mit (10) | kornausbr chen und (8);3.74
stark verwitterte oberfl;584;stark verwitterte oberfl (292) | stark verwitterte oberfl che (292);1.74
verwitterte oberfl che mit;470;verwitterte oberfl che mit (375) | verwitterte oberfl che teils (95);1.4
oberfl che mit kornausbr;712;oberfl che mit kornausbr (352) | oberfl che mit kornausbr chen (335) | oberfl che mit kornausbr che (17) | oberfl che mit ausbr (8);2.12
che mit kornausbr chen;372;che mit kornausbr chen (338) | che mit kornausbr che (17) | che mit kornausbr chen mit (9) | che mit ausbr chen (8);1.11
stark verwitterte oberfl che mit;255;stark verwitterte oberfl che mit (233) | stark verwitterte oberfl che teils (22);0.76
verwitterte oberfl che mit kornausbr;359;verwitterte oberfl che mit kornausbr (351) | verwitterte oberfl che mit ausbr (8);1.07
leicht verwitterte;86;leicht verwitterte (86);0.26
leicht verwitterte oberfl;171;leicht verwitterte oberfl (86) | leicht verwitterte oberfl che (85);0.51
schwindrisse mit;1959;schwindrisse mit (455) | schwindrisse teils (562) | schwindriss mit (254) | schwindrisse oder (152) | stk schwindrisse mit (185) | schwindrisse bis (121) | schwindrisse netzf (8) | schwindrisse evtl (10) | schwindrisse im (18) | schwindriss bis (22) | schwindrisse in (42) | hschwindrisse evtl (21) | schwindrisse stk (13) | schwindrisse an (7) | hschwindrisse mit (9) | schwindrisse pro (43) | schwindrisse stk mit (7) | schwindrisse auch (9) | schwindrisse vom (7) | schwindrisse und (7) | schwindrisse breite (7);5.84
mit kalkaussinterung;2367;mit kalkaussinterung (831) | mit kalkaussinterungen (1415) | mit kalkaussinterung und (12) | mit kalksinterung (19) | stk mit kalkaussinterung (49) | mit kalkaussinterung mit (21) | mit kalkaussinterung alt (11) | cm2 mit kalkaussinterung (9);7.05
schwindrisse mit kalkaussinterung;1274;schwindrisse mit kalkaussinterung (156) | schwindrisse teils mit kalkaussinterung (164) | schwindriss mit kalksinterungen (11) | schwindrisse mit kalkaussinterungen (261) | schwindriss mit kalkaussinterungen (140) | stk schwindriss mit kalkaussinterungen (132) | stk schwindrisse mit kalkaussinterungen (102) | schwindriss mit kalkaussinterung (88) | stk schwindriss mit kalkaussinterung (77) | stk schwindrisse mit kalkaussinterung (74) | schwindrisse mit kalkaussinterungen evtl (8) | schwindrisse mit kalksinterungen (25) | schwindriss teils mit kalkaussinterungen (10) | schwindrisse mit kalkaussinterung teils (12) | hschwindrisse mit kalkaussinterungen (7) | fr hschwindrisse mit kalkaussinterungen (7);3.8
mehrere schwindrisse;1121;mehrere schwindrisse (829) | mehrere fr hschwindrisse (126) | mehrere schwindrisse mit (144) | mehrere schwindrisse bis (22);3.34
teils mit;2157;teils mit (1534) | kleine mit (14) | teils risse (7) | teils von (23) | teils in (52) | teilweise mit (82) | cm2 teils mit (46) | belag mit (8) | mm teils mit (25) | che teils mit (90) | be teils mit (13) | risse mit (69) | cm teils mit (7) | teils bei (9) | teils lose (9) | stellen mit (17) | stk teils mit (18) | teils abl (11) | teils alte (7) | teils bis (13) | breite mit (12) | teils leicht (16) | teils nur (10) | teil der (13) | stelle mit (12) | teils fr (12) | teils aus (9) | teils auch (19);6.43
mehrere schwindrisse teils;562;mehrere schwindrisse teils (293) | mehrere schwindrisse teils mit (269);1.67
schwindrisse teils mit;637;schwindrisse teils mit (508) | stk schwindrisse teils mit (82) | hschwindrisse teils mit (11) | fr hschwindrisse teils mit (11) | schwindriss teils mit (16) | schwindrisse teils fr (9);1.9
teils mit kalkaussinterung;848;teils mit kalkaussinterung (277) | teils mit kalkaussinterungen (450) | mm teils mit kalkaussinterungen (22) | teils mit kalksinterungen (63) | risse mit kalkaussinterung (7) | stk teils mit kalkaussinterung (10) | teils mit kalksinterung (8) | riss mit kalkaussinterung (11);2.53
mehrere schwindrisse teils mit kalkaussinterung;394;mehrere schwindrisse teils mit kalkaussinterung (74) | mehrere schwindrisse teils mit kalkaussinterungen (159) | mehrere schwindrisse mit kalkaussinterungen (93) | zahlreiche schwindrisse teils mit kalkaussinterung (12) | mehrere schwindrisse mit kalkaussinterung (32) | mehrere schwindrisse teils mit kalksinterungen (24);1.17
abl sung;2081;abl sung (1029) | abl sung der (896) | abl sungen (51) | abl sung an (44) | gel und (23) | abl sung und (8) | mit abl sung (12) | br stung (11) | abl sung os (7);6.2
sung der;2283;sung der (897) | in der (165) | sch den (93) | sungen der (28) | spr de (89) | von der (24) | in den (120) | auf der (243) | env de (8) | an der (167) | dues des (10) | an den (66) | che der (21) | von den (13) | nach der (28) | sung an (44) | sung und (8) | unter der (40) | 10 der (10) | sung der os (9) | setzung des (7) | bei der (37) | ber der (24) | sur le (8) | sup de (16) | vor der (10) | auf den (8) | fugen der (14) | mur de (8) | ngung oder (14) | auf dem (9) | digung des (9) | sung os (7) | ende der (7) | digung der (7) | aus der (8) | ecke der (7);6.8
der beschichtung;460;der beschichtung (365) | durch beschichtung (11) | der beschichtung und (20) | in beschichtung (53) | der beschichtung mit (11);1.37
sung der beschichtung;690;sung der beschichtung (322) | abl sung der beschichtung (322) | sung der beschichtung und (19) | sung der beschichtung mit (10) | sungen der beschichtung (17);2.06
bewuchs im;96;bewuchs im (8) | bewuchs nicht (9) | bewuchs in (34) | auch im (7) | bewuchs und (11) | bewuchs teils (7) | bewuchs ber (12) | bewuchs auf (8);0.29
der sohle;381;der sohle (22) | der st (85) | der st tze (11) | der fuge (31) | der decke (27) | dr hte (15) | der dseite (11) | in der sohle (13) | der mitte (35) | der nde (8) | der risse (8) | der os (11) | der konsole (19) | der fl (20) | der seite (17) | der farbe (13) | der rampe (7) | der sm (10) | der ecke (18);1.14
einzelne kleine;218;einzelne kleine (167) | einzelne kleine gel (14) | einzelne teils (14) | einzelne bl cke (8) | einzelne kleinere (8) | einzelne leicht (7);0.65
du joint de;9;du joint de (9);0.03
constatation peut tre;36;constatation peut tre (36);0.11
cette constatation peut tre;29;cette constatation peut tre (29);0.09
cette constatation peut tre supprim;29;cette constatation peut tre supprim (29);0.09
je stk;1037;je stk (253) | de rag (94) | gr sse (175) | je stk mit (15) | je ca (22) | geh rt (28) | je bis stk (18) | 13 stk (7) | de und (38) | bei st (12) | mm sur (11) | 10 stk (37) | in hk (7) | de la (108) | 11 stk (12) | gel st (24) | 12 stk (16) | ab ok (19) | 14 stk (7) | 15 stk (13) | gel etc (10) | ne sont (12) | le mur (16) | de me (23) | de cul (8) | me de (9) | hte etc (9) | he von (7) | he ab (9) | de ip (18);3.09
laub und;421;laub und (10) | ps und (11) | gras und (7) | lose und (9) | hte und (105) | ngs und (105) | moos und (36) | mm und (69) | che und (10) | vor und (10) | quer und (14) | efeu und (9) | chen und (15) | belag und (11);1.25
str ucher;266;str ucher (155) | fr her (59) | und str ucher (13) | tr ger (23) | str ucher und (16);0.79
korrodierter bewehrungsstab;447;korrodierter bewehrungsstab (98) | stk korrodierter bewehrungsstab (95) | korrodierter bewehrungsstab mit (21) | korrodierte bewehrungsst be (233);1.33
der flanken;708;der flanken (510) | an flanken (46) | der fugen (16) | der flanke (19) | der flanken bis (36) | der ganzen (52) | der flanken mit (22) | der platte (7);2.11
flanken keine;365;flanken keine (123) | der flanken keine (122) | flanken teils (55) | flanken bis (36) | flanken mit (29);1.09
keine belagsfuge;139;keine belagsfuge (124) | keine belagsfugen (15);0.41
belagsfuge vorhanden;163;belagsfuge vorhanden (125) | belagsfugen vorhanden (15) | belagsfuge vorhanden mit (23);0.49
sung der flanken;1126;sung der flanken (500) | abl sung der flanken (499) | sung der flanke (19) | sung der flanken bis (35) | sung an flanken (41) | sung der farbe (10) | sung der flanken mit (22);3.35
flanken keine belagsfuge;212;flanken keine belagsfuge (95) | der flanken keine belagsfuge (95) | flanken keine belagsfugen (11) | der flanken keine belagsfugen (11);0.63
keine belagsfuge vorhanden;171;keine belagsfuge vorhanden (124) | keine belagsfugen vorhanden (15) | keine belagsfugen vorhanden mit (9) | keine belagsfuge vorhanden mit (23);0.51
sung der flanken keine;292;sung der flanken keine (122) | abl sung der flanken keine (122) | sung der flanken teils (48);0.87
flanken keine belagsfuge vorhanden;262;flanken keine belagsfuge vorhanden (95) | der flanken keine belagsfuge vorhanden (95) | flanken keine belagsfuge vorhanden teils (32) | flanken keine belagsfugen vorhanden (11) | der flanken keine belagsfugen vorhanden (11) | flanken keine belagsfuge vorhanden mit (18);0.78
sung der flanken keine belagsfuge;106;sung der flanken keine belagsfuge (95) | sung der flanken keine belagsfugen (11);0.32
aar beginnend;597;aar beginnend (597);1.78
beginnend evtl;803;beginnend evtl (269) | aar beginnend evtl (269) | beginnend evtl fr (243) | beginnend oder (22);2.39
evtl fr;564;evtl fr (249) | evtl zw (20) | evtl alte (62) | ev fr (7) | evtl alt (8) | von fb (29) | evtl von (18) | evtl aar (43) | et de (59) | evtl aus (20) | von fr (14) | oder fr (12) | ev nur (8) | im fr (7) | wegen fr (8);1.68
evtl fr hschwindrisse;299;evtl fr hschwindrisse (249) | oder fr hschwindrisse (12) | evtl schwindrisse (27) | teils fr hschwindrisse (11);0.89
aar beginnend evtl fr;253;aar beginnend evtl fr (243) | aar beginnend oder fr (10);0.75
beginnend evtl fr hschwindrisse;520;beginnend evtl fr hschwindrisse (243) | aar beginnend evtl fr hschwindrisse (243) | beginnend oder fr hschwindrisse (10) | beginnend evtl schwindrisse (24);1.55
mit abplatzungen;842;mit abplatzungen (379) | mit abplatzungen bis (160) | und abplatzungen (40) | stk mit abplatzungen (78) | mit abplatzung (48) | be mit abplatzungen (63) | keine abplatzungen (9) | mit abplatzung bis (21) | stk abplatzungen (13) | mit abplatzungen gr (12) | mit abplatzungen und (9) | mit abplatzungen mit (10);2.51
stehendes wasser;26;stehendes wasser (26);0.08
hohlliegender belag;196;hohlliegender belag (148) | hohlliegender belag mit (7) | hohlliegender rtel (31) | hohlliegender ma (10);0.58
gel nderh;124;gel nderh (25) | gel nderh he (25) | gel binddr (36) | gel nder (28) | den nden (10);0.37
nderh he;57;nderh he (25) | derni re (8) | der br (16) | nder oder (8);0.17
mehrere stellen;356;mehrere stellen (70) | mehrere teils (169) | mehreren stellen (49) | an mehreren stellen (47) | mehrere stellen mit (12) | mehrere bindstellen (9);1.06
verf llung;292;verf llung (123) | verf llung von (116) | verf llungen (20) | verf rbungen (13) | zerf llt (8) | verf llt (12);0.87
llung von;242;llung von (117) | llung von gel (102) | llungen von (16) | auch von (7);0.72
von gel;433;von gel (129) | von alten (21) | vor dem (14) | von fuge (9) | non sup (102) | en age (14) | hte gel (16) | sch kel (24) | von ca (37) | von altem (14) | von ok (8) | von alter (8) | non relev (14) | por ser (15) | von lkw (8);1.29
gel nderpfosten;261;gel nderpfosten (142) | von gel nderpfosten (119);0.78
nderpfosten risse;163;nderpfosten risse (69) | gel nderpfosten risse (69) | nderpfosten risse und (16) | pfosten risse (9);0.49
risse durch;173;risse durch (58) | risse ca (9) | risse auf (57) | risse und (38) | teils durch (11);0.52
durch frost;86;durch frost (86);0.26
nderpfosten risse durch;104;nderpfosten risse durch (52) | gel nderpfosten risse durch (52);0.31
risse durch frost;56;risse durch frost (56);0.17
verf llung von gel;127;verf llung von gel (102) | verf llungen von gel (13) | verf llung von alten (12);0.38
llung von gel nderpfosten;217;llung von gel nderpfosten (102) | verf llung von gel nderpfosten (102) | llungen von gel nderpfosten (13);0.65
von gel nderpfosten risse;85;von gel nderpfosten risse (69) | von gel nderpfosten risse und (16);0.25
nderpfosten risse durch frost;114;nderpfosten risse durch frost (52) | gel nderpfosten risse durch frost (52) | nderpfosten risse durch frost teils (10);0.34
llung von gel nderpfosten risse;69;llung von gel nderpfosten risse (58) | llungen von gel nderpfosten risse (11);0.21
von gel nderpfosten risse durch;52;von gel nderpfosten risse durch (52);0.15
suspicion de rag;43;suspicion de rag (43);0.13
bis 700 cm2;3016;bis 700 cm2 (69) | bis 100 cm2 (706) | bis 500 cm2 (219) | bis 75 cm2 (81) | bis 400 cm2 (296) | bis 25 cm2 (11) | bis 900 cm2 (34) | bis ca cm (47) | bis 200 cm2 (404) | bis 1000 cm2 (139) | bis 1500 cm2 (46) | bis 1200 cm2 (60) | bis 1000cm2 (32) | bis 1100 cm2 (13) | bis 350 cm2 (19) | bis 2000cm2 (11) | bis 600 cm2 (127) | bis 800 cm2 (82) | bis 1800 cm2 (17) | bis 150 cm2 (173) | bis 2000 cm2 (73) | bis 3000 cm2 (24) | bis 2400 cm2 (13) | bis 250 cm2 (60) | bis 75cm2 (7) | bis 1600 cm2 (41) | bis 50 cm2 (89) | bis 150cm2 (11) | bis 450 cm2 (15) | bis 2500 cm2 (21) | bis 4000 cm2 (9) | bis 25cm2 (11) | bis 4500 cm2 (7) | bis 1300 cm2 (9) | bis 1400 cm2 (14) | bis 750 cm2 (9) | bis zu cm (17);8.99
stk bis 700 cm2 mit;1421;stk bis 700 cm2 mit (47) | stk bis 100 cm2 mit (300) | stk bis 500 cm2 mit (120) | stk bis 400 cm2 mit (152) | stk bis 1500 cm2 mit (26) | stk bis 1200 cm2 mit (35) | stk bis 1000cm2 mit (12) | stk bis 350 cm2 mit (11) | stk bis 200 cm2 mit (168) | stk bis 900 cm2 mit (20) | stk bis 600 cm2 mit (75) | stk bis 800 cm2 mit (55) | stk bis 1000 cm2 mit (72) | stk bis 150 cm2 mit (69) | stk bis 2000 cm2 mit (45) | stk bis 3000 cm2 mit (16) | stk bis 300cm2 mit (7) | stk bis 2400 cm2 mit (7) | stk bis 1600 cm2 mit (26) | stk bis 75 cm2 mit (28) | stk bis 50 cm2 mit (30) | stk bis 2500 cm2 mit (13) | stk bis 200cm2 mit (11) | stk bis 250 cm2 mit (25) | stk bis 500cm2 mit (7) | stk bis 400cm2 mit (8) | stk bis 450 cm2 mit (9) | stk bis 1400 cm2 mit (9) | stk bis 1800 cm2 mit (11) | stk bis 100cm2 mit (7);4.23
bis 700 cm2 mit korrodierter;1645;bis 700 cm2 mit korrodierter (52) | bis 100 cm2 mit korrodierter (344) | bis 500 cm2 mit korrodierter (135) | bis 400 cm2 mit korrodierter (178) | bis 1200 cm2 mit korrodierter (46) | bis 1000cm2 mit korrodierter (17) | bis 350 cm2 mit korrodierter (11) | bis 200 cm2 mit korrodierter (197) | bis 2000cm2 mit korrodierter (9) | bis 900 cm2 mit korrodierter (23) | bis 600 cm2 mit korrodierter (80) | bis 800 cm2 mit korrodierter (64) | bis 1000 cm2 mit korrodierter (79) | bis 150 cm2 mit korrodierter (74) | bis 2000 cm2 mit korrodierter (53) | bis 2400 cm2 mit korrodierter (8) | bis 75 cm2 mit korrodierter (32) | bis 50 cm2 mit korrodierter (35) | bis 1500 cm2 mit korrodierter (29) | bis 2500 cm2 mit korrodierter (17) | bis 200cm2 mit korrodierter (18) | bis 250 cm2 mit korrodierter (26) | bis 500cm2 mit korrodierter (10) | bis 400cm2 mit korrodierter (9) | bis 450 cm2 mit korrodierter (9) | bis 1400 cm2 mit korrodierter (9) | bis 100cm2 mit korrodierter (15) | bis 1600 cm2 mit korrodierter (31) | bis 1100 cm2 mit korrodierter (8) | bis 1800 cm2 mit korrodierter (10) | bis 150cm2 mit korrodierter (7) | bis 50cm2 mit korrodierter (10);4.9
stk schwindriss;793;stk schwindriss (479) | stk schwindriss mit (231) | je stk schwindriss (42) | je stk schwindrisse (19) | stk schwindriss bis (22);2.36
mit kalksinterungen;172;mit kalksinterungen (141) | mit aussinterungen (31);0.51
stk schwindriss mit kalksinterungen;23;stk schwindriss mit kalksinterungen (11) | je stk schwindriss mit kalkaussinterungen (12);0.07
mehrere fr;723;mehrere fr (127) | mehrere mit (121) | mehrere ev (10) | mehrere bis (318) | mehrere evtl (9) | mehrere st (7) | mehrere alte (12) | mehrere abl (8) | mehrere ngs (40) | mehrere gr (18) | mehrere stk (9) | mehrere gel (13) | mehrere verf (9) | mehrere bei (11) | mehrere meter (11);2.15
mechanische besch;956;mechanische besch (572) | cm2 mechanische besch (329) | mechanische sch (37) | mechanisch besch (18);2.85
besch digung;694;besch digung (510) | besch digungen (120) | besch digt (39) | besch digte (9) | besch digung des (9) | besch digung der (7);2.07
mechanische besch digung;915;mechanische besch digung (473) | cm2 mechanische besch digung (309) | mechanische besch digungen (98) | evtl mechanische besch digung (7) | mechanisch besch digung (14) | cm2 mechanisch besch digung (14);2.73
stk kleine;284;stk kleine (112) | stk kleine gel (10) | mit kleinen (148) | zu klein (7) | hat keine (7);0.85
undichte fuge;454;undichte fuge (160) | undichtem fb (80) | undichte fugen (93) | undichte af (32) | undichter fb (42) | undichte fuge mit (21) | undichter fuge (26);1.35
aktuell trocken;35;aktuell trocken (26) | aktuell trocken da (9);0.1
trocken da;50;trocken da (10) | trocken aus (9) | traces de (15) | trocken alt (16);0.15
da kein;86;da kein (8) | du ton (17) | fa en (14) | oder keine (9) | ca he (9) | la derni (8) | af in (7) | hat keinen (7) | du rev (7);0.26
kein niederschlag;15;kein niederschlag (8) | da kein niederschlag (7);0.04
trocken da kein;8;trocken da kein (8);0.02
aktuell trocken da kein;8;aktuell trocken da kein (8);0.02
trocken da kein niederschlag;7;trocken da kein niederschlag (7);0.02
aktuell trocken da kein niederschlag;7;aktuell trocken da kein niederschlag (7);0.02
cm2 mechanische;676;cm2 mechanische (330) | 100 cm2 mechanische (104) | 200 cm2 mechanische (64) | 400 cm2 mechanische (25) | evtl mechanische (10) | 600 cm2 mechanische (8) | 300 cm2 mechanische (44) | 75 cm2 mechanische (18) | cm2 mechanisch (19) | 150 cm2 mechanische (38) | ev mechanische (7) | 500 cm2 mechanische (9);2.01
bis 100 cm2 mechanische;399;bis 100 cm2 mechanische (104) | stk bis 100 cm2 mechanische (98) | bis 200 cm2 mechanische (63) | bis 400 cm2 mechanische (25) | bis 300 cm2 mechanische (44) | bis 75 cm2 mechanische (18) | bis 150 cm2 mechanische (38) | bis 500 cm2 mechanische (9);1.19
